DMA,Sector,Household,Non-household
621,LS22 5,908,37
622,S65 4,45,7
623,HU15 2,1006,52
624,S72 8,1632,102
625,HX5 0,1056,157
625,HX5 9,184,68
626,HG4 5,340,40
626,YO61 2,52,19
626,YO7 3,464,63
626,YO7 4,119,15
627,S62 7,279,14
628,YO62 5,87,32
628,YO62 7,145,23
629,WF7 7,753,14
630,YO12 5,1251,104
630,YO12 7,188,7
631,WF7 7,1164,32
632,HX6 3,411,7
632,HX6 4,1479,108
633,BD2 3,127,19
633,BD3 7,689,10
635,YO17 8,117,17
636,LS7 2,437,7
636,LS7 3,234,7
637,LS9 7,1716,27
638,S71 3,32,203
639,LS29 8,95,8
639,LS29 9,612,8
640,HX3 8,280,18
641,YO42 1,28,6
641,YO42 4,539,187
641,YO43 3,186,15
643,S36 8,45,9
643,S36 9,205,10
644,S65 4,541,20
645,DN7 6,1457,18
646,S70 1,843,32
647,S3 8,458,77
647,S6 3,87,8
648,YO26 4,1060,17
649,HG5 8,687,100
650,BD6 1,953,17
652,HG4 1,309,36
652,HG4 2,1347,111
652,HG4 3,46,11
655,HU10 6,946,63
656,S13 9,85,10
656,S26 2,95,9
656,S26 4,1231,85
657,LS29 7,51,9
657,LS29 8,2163,195
658,DN8 4,778,39
658,DN8 5,497,82
659,S10 5,488,18
661,BD11 1,977,51
662,HG5 0,680,19
663,HU16 5,133,19
663,HU20 3,361,22
664,WF12 0,648,17
665,HU5 4,1454,23
666,HD1 6,248,92
667,HD1 3,171,24
667,HD3 4,402,40
667,HD4 5,769,34
668,LS12 3,916,21
669,HX3 6,105,11
669,HX3 7,1104,25
670,LS7 4,1315,24
671,HG5 9,524,17
672,WF8 3,37,16
673,LS20 8,823,20
674,DL11 6,99,23
675,WF10 2,876,9
676,WF2 7,360,6
677,BD20 6,683,14
678,DN12 4,1479,142
679,YO8 9,66,10
680,S3 9,760,62
681,LS21 1,969,139
681,LS21 3,1271,324
682,HX3 0,179,21
682,HX3 9,1632,47
682,HX5 0,97,7
683,HG3 5,37,8
684,YO11 2,554,16
685,HD9 5,454,7
686,HU12 9,1114,79
689,YO11 3,1612,15
691,HG4 1,1020,21
691,HG4 2,1257,9
692,HX3 7,640,11
693,LS26 8,850,46
694,DN7 4,832,23
695,S9 3,181,81
695,S9 5,59,34
697,HU13 0,609,75
697,HU13 9,359,31
698,WF12 9,161,22
699,YO8 9,1338,14
700,BD13 3,1584,92
701,YO61 3,37,14
702,WF8 1,31,8
702,WF8 4,1252,29
703,S6 5,1691,122
704,DL6 3,84,20
705,WF4 1,1467,62
706,HU3 5,589,9
706,HU3 6,22,22
707,YO24 3,1928,97
707,YO24 4,340,29
707,YO26 4,91,10
708,YO42 1,40,105
708,YO42 2,272,10
708,YO42 4,455,45
710,BD17 6,766,13
710,BD17 7,499,131
711,S4 7,740,25
713,DN4 6,1634,36
714,YO19 4,170,21
714,YO19 6,79,16
715,DN9 2,223,32
716,HG3 2,49,23
717,HD4 5,563,27
718,WF9 5,1957,110
719,WF13 4,1270,45
719,WF17 7,33,7
720,WF4 1,1040,33
721,LS22 6,159,11
721,LS22 7,504,7
722,YO14 0,417,60
725,LS24 8,1204,61
726,YO42 2,541,43
727,YO8 8,379,45
727,YO8 9,538,11
728,S10 4,1066,16
729,YO62 4,233,17
731,LS14 3,190,8
732,HD8 0,1023,21
733,HG4 1,137,21
733,HG4 5,519,59
734,S3 7,1119,129
735,S65 3,1216,13
736,S60 1,127,119
736,S60 2,82,90
738,YO8 4,491,11
738,YO8 9,593,7
742,WF2 0,1172,18
743,TS13 5,616,86
744,YO19 5,52,11
744,YO41 1,129,32
746,LS16 5,406,8
747,HX6 2,1391,153
748,LS25 1,103,8
748,LS25 2,1341,62
749,WF4 4,137,7
749,WF4 5,515,141
749,WF4 6,345,6
750,YO25 4,124,28
751,YO19 5,1539,175
751,YO41 5,43,6
752,BD1 4,114,31
752,BD1 5,540,89
752,BD3 0,123,19
752,BD3 9,138,40
753,YO7 1,29,6
753,YO7 2,52,10
753,YO7 3,63,41
754,HG3 3,44,9
754,HG5 9,160,43
755,S6 6,119,31
757,S35 1,220,19
757,S35 2,783,86
758,DN8 5,28,19
759,WF8 1,86,73
759,WF8 4,39,38
760,S6 5,1097,17
761,DN12 2,844,6
762,S35 2,392,58
764,BD9 6,441,10
766,HX3 6,1081,40
767,DL8 3,220,29
768,LS11 6,130,14
768,LS11 7,448,13
768,LS11 8,279,12
769,BD15 7,1385,23
770,DN1 1,73,13
770,DN1 2,767,193
770,DN2 4,51,13
771,YO61 4,133,31
772,YO1 7,646,37
772,YO31 7,256,74
773,HU6 7,374,21
774,LS15 0,353,13
774,LS15 7,515,46
775,S10 2,186,30
775,S11 8,366,6
776,HU11 5,738,43
777,YO42 1,29,12
778,S60 2,598,59
779,WF1 1,55,101
779,WF1 3,285,21
779,WF1 4,287,52
780,LS12 5,1018,15
783,BD13 2,1283,31
784,WF5 9,1431,62
785,S36 3,102,13
786,BD20 5,783,21
786,BD21 4,82,15
787,YO23 2,194,55
789,S70 3,967,26
790,YO43 3,59,16
792,LS10 4,1732,72
794,HU8 9,421,49
794,HU9 3,681,29
795,LS10 4,1072,18
796,LS28 7,142,43
796,LS28 8,1349,38
797,HG3 2,50,15
797,HG3 3,171,17
798,HU12 0,1155,152
798,HU12 9,30,7
799,HD6 3,323,13
800,HU15 1,435,10
801,DN4 5,548,11
803,S25 2,1068,38
804,DN5 8,1013,19
805,WF4 2,942,48
806,BD23 5,48,8
807,YO18 8,503,39
808,LS7 3,288,10
808,LS7 4,155,16
809,HU7 4,661,14
810,S70 4,706,22
811,BD11 2,1499,79
811,BD19 4,645,15
811,BD4 6,393,26
812,HD3 4,1195,16
813,DN14 7,23,9
814,BD18 2,1276,25
814,BD2 1,105,8
815,LS7 4,267,20
816,DL7 9,30,13
816,YO7 4,26,12
817,HX2 7,211,11
818,WF6 1,1694,52
818,WF6 2,99,59
819,DL8 1,1052,142
819,DL8 2,666,39
820,YO25 9,136,25
821,BD6 1,359,22
821,BD6 3,899,43
822,HX3 0,422,18
823,S62 7,1253,19
824,S64 8,966,150
825,LS8 1,1144,11
826,WF7 7,357,13
827,WF10 4,1665,209
828,LS2 9,83,23
828,LS6 2,1542,56
830,S6 6,350,19
831,HU9 1,1743,158
832,LS10 4,1484,8
833,YO8 5,530,26
834,HD9 4,479,53
835,BD4 8,1833,111
835,BD4 9,296,48
836,DN14 8,1045,103
836,DN14 9,114,13
837,BD6 2,687,7
837,BD6 3,457,15
838,LS16 8,711,13
839,S70 1,1111,137
840,HD3 4,556,6
841,HU13 0,1679,112
841,HU13 9,89,9
844,DL6 3,49,22
845,S14 1,1268,41
845,S8 8,41,10
846,S35 0,538,6
847,DN14 7,310,46
847,YO8 6,71,17
849,S5 6,132,21
850,LS17 8,928,35
850,LS17 9,42,17
852,S26 5,1507,37
852,S26 6,28,13
853,WF14 8,391,142
853,WF14 9,746,17
854,WF15 7,853,11
855,DL7 0,202,79
857,DL8 1,79,9
858,WF12 7,146,8
858,WF13 1,433,399
858,WF13 2,737,97
859,S60 5,2340,19
861,HD4 6,1247,37
863,LS8 3,609,34
863,LS8 5,697,37
864,WF4 4,517,12
865,BD2 1,216,25
865,BD9 4,669,44
866,WF16 0,501,31
867,LS2 7,847,79
867,LS7 1,376,8
867,LS9 7,458,74
868,LS13 1,265,9
869,YO24 4,903,9
870,HX3 5,1326,46
871,LS22 6,743,240
872,YO17 6,29,12
874,BD20 6,1548,48
875,YO10 3,1188,49
875,YO10 5,572,10
875,YO19 5,123,21
876,BD13 3,732,23
877,HU17 0,991,21
877,HU17 9,1143,8
878,DN6 9,112,11
879,YO8 4,776,206
880,YO8 8,273,39
881,BD7 4,722,6
882,WF10 5,429,34
884,WF1 5,714,33
885,HD1 3,357,134
885,HD1 4,27,32
886,YO25 9,345,61
888,YO7 4,89,36
